iter	Passed	Remaining
0	17	53174
1	34	51048
2	146	146056
3	169	127235
4	188	112643
5	206	102932
6	222	95094
7	238	89238
8	346	114995
9	369	110591
10	390	106138
11	409	101855
12	426	98079
13	441	94098
14	547	108955
15	571	106594
16	590	103538
17	608	100853
18	623	97893
19	636	94829
20	652	92583
21	764	103504
22	787	101877
23	805	99916
24	821	97811
25	836	95664
26	850	93597
27	863	91625
28	981	100569
29	1003	99312
30	1028	98456
31	1048	97210
32	1064	95741
33	1082	94404
34	1095	92832
35	1200	98839
36	1222	97869
37	1236	96390
38	1253	95148
39	1267	93823
40	1282	92583
41	1392	98053
42	1412	97147
43	1431	96158
44	1447	95082
45	1463	94003
46	1479	92958
47	1605	98747
48	1636	98565
49	1658	97831
50	1680	97182
51	1799	102031
52	1821	101302
53	1838	100321
54	1852	99210
55	1869	98266
56	1985	102523
57	2005	101740
58	2025	100966
59	2045	100205
60	2063	99437
61	2089	99027
62	2188	102016
63	2204	101118
64	2218	100153
65	2306	102514
66	2344	102624
67	2361	101839
68	2383	101228
69	2401	100516
70	2417	99731
71	2432	98921
72	2536	101717
73	2557	101109
74	2578	100572
75	2594	99819
76	2612	99173
77	2629	98486
78	2660	98353
79	2754	100527
80	2775	100006
81	2794	99452
82	2812	98835
83	2829	98234
84	2844	97557
85	2861	96954
86	2904	97264
87	2981	98661
88	3002	98200
89	3057	98845
90	3141	100425
91	3175	100375
92	3190	99733
93	3207	99169
94	3222	98537
95	3326	100635
96	3347	100172
97	3362	99559
98	3379	99036
99	3392	98396
100	3482	99957
101	3514	99841
102	3534	99405
103	3553	98957
104	3569	98427
105	3586	97910
106	3602	97395
107	3709	99324
108	3725	98800
109	3837	100832
110	3863	100561
111	3887	100231
112	3908	99860
113	3925	99386
114	4052	101672
115	4075	101325
116	4094	100885
117	4112	100446
118	4129	99983
119	4174	100184
120	4261	101399
121	4284	101081
122	4305	100709
123	4325	100333
124	4345	99940
125	4361	99495
126	4394	99404
127	4487	100679
128	4513	100441
129	4535	100132
130	4559	99850
131	4578	99469
132	4595	99070
133	4610	98605
134	4724	100260
135	4750	100035
136	4771	99718
137	4790	99354
138	4808	98980
139	4826	98607
140	4844	98238
141	4954	99723
142	4985	99604
143	5006	99300
144	5024	98939
145	5041	98557
146	5074	98492
147	5176	99760
148	5198	99469
149	5218	99159
150	5237	98812
151	5253	98428
152	5296	98555
153	5375	99338
154	5398	99094
155	5418	98782
156	5434	98406
157	5451	98062
158	5467	97697
159	5586	99153
160	5611	98952
161	5632	98674
162	5652	98387
163	5672	98086
164	5690	97766
165	5707	97432
166	5810	98563
167	5832	98311
168	5853	98052
169	5872	97764
170	5891	97468
171	5907	97128
172	6017	98332
173	6051	98277
174	6078	98119
175	6099	97862
176	6118	97585
177	6138	97324
178	6232	98228
179	6270	98238
180	6293	98021
181	6316	97798
182	6334	97509
183	6351	97210
184	6369	96926
185	6471	97903
186	6499	97777
187	6524	97589
188	6541	97295
189	6561	97035
190	6579	96757
191	6690	97855
192	6718	97720
193	6740	97491
194	6758	97218
195	6776	96946
196	6793	96666
197	6806	96322
198	6824	96052
199	6925	96960
200	6945	96724
201	6965	96485
202	6981	96192
203	6997	95902
204	7013	95616
205	7065	95832
206	7136	96287
207	7153	96024
208	7172	95776
209	7187	95497
210	7201	95194
211	7216	94899
212	7230	94604
213	7335	95497
214	7350	95217
215	7458	96134
216	7477	95895
217	7494	95638
218	7509	95360
219	7524	95081
220	7539	94805
221	7553	94517
222	7654	95320
223	7671	95067
224	7687	94808
225	7702	94548
226	7817	95491
227	7838	95294
228	7854	95045
229	7871	94805
230	7886	94540
231	7902	94281
232	7915	94004
233	8037	95008
234	8058	94813
235	8075	94577
236	8090	94316
237	8106	94072
238	8120	93812
239	8232	94676
240	8262	94593
241	8280	94376
242	8298	94154
243	8438	95319
244	8462	95154
245	8480	94936
246	8495	94694
247	8509	94430
248	8620	95242
249	8641	95055
250	8660	94850
251	8675	94602
252	8690	94363
253	8704	94099
254	8768	94390
255	8830	94649
256	8855	94513
257	8875	94331
258	8895	94138
259	8915	93953
260	8932	93737
261	8948	93510
262	9057	94264
263	9082	94122
264	9100	93920
265	9117	93707
266	9133	93486
267	9145	93231
268	9227	93676
269	9313	94169
270	9328	93940
271	9345	93726
272	9360	93505
273	9476	94282
274	9497	94110
275	9517	93934
276	9535	93733
277	9551	93518
278	9567	93312
279	9705	94280
280	9724	94096
281	9741	93887
282	9756	93669
283	9772	93458
284	9874	94063
285	9892	93876
286	9912	93704
287	9930	93507
288	9944	93283
289	9985	93308
290	10127	94279
291	10150	94131
292	10170	93962
293	10187	93765
294	10201	93541
295	10215	93323
296	10229	93094
297	10242	92872
298	10336	93374
299	10371	93346
300	10391	93180
301	10411	93010
302	10429	92835
303	10443	92619
304	10489	92681
305	10588	93224
306	10616	93131
307	10643	93026
308	10665	92881
309	10684	92709
310	10745	92905
311	10813	93159
312	10839	93057
313	10859	92896
314	10879	92732
315	10899	92578
316	11016	93242
317	11062	93301
318	11102	93310
319	11132	93234
320	11320	94477
321	11504	95678
322	11530	95561
323	11546	95368
324	11657	95947
325	11680	95807
326	11699	95636
327	11716	95443
328	11757	95456
329	11845	95843
330	11868	95704
331	11887	95531
332	11907	95368
333	11923	95174
334	11965	95186
335	12046	95507
336	12067	95355
337	12087	95199
338	12106	95028
339	12208	95510
340	12235	95408
341	12257	95266
342	12275	95087
343	12291	94903
344	12309	94730
345	12359	94806
346	12432	95049
347	12449	94870
348	12465	94688
349	12587	95303
350	12613	95191
351	12636	95058
352	12656	94905
353	12677	94759
354	12697	94603
355	12821	95222
356	12860	95210
357	12897	95182
358	12920	95049
359	12944	94927
360	13049	95395
361	13071	95256
362	13093	95115
363	13111	94950
364	13130	94788
365	13235	95254
366	13277	95261
367	13312	95216
368	13333	95067
369	13349	94891
370	13366	94719
371	13471	95166
372	13517	95201
373	13541	95076
374	13563	94941
375	13581	94779
376	13598	94610
377	13649	94682
378	13743	95043
379	13769	94938
380	13792	94810
381	13810	94650
382	13828	94487
383	13845	94319
384	13948	94740
385	13974	94635
386	13998	94520
387	14019	94376
388	14039	94233
389	14055	94064
390	14168	94543
391	14186	94383
392	14205	94232
393	14223	94074
394	14238	93903
395	14255	93743
396	14356	94133
397	14378	94001
398	14396	93848
399	14413	93686
400	14426	93503
401	14440	93325
402	14554	93789
403	14574	93653
