iter	MAE
0	0.3875337127
1	0.3838861879
2	0.380377578
3	0.3769725976
4	0.3738116245
5	0.3706516887
6	0.3675118557
7	0.364340136
8	0.3612553963
9	0.3582165761
10	0.355357878
11	0.3526265834
12	0.35000556
13	0.3473400587
14	0.3447540067
15	0.3421599214
16	0.3396896663
17	0.3371061433
18	0.3347824173
19	0.3325547602
20	0.3303013672
21	0.3280289447
22	0.3258529547
23	0.3237273795
24	0.3216741296
25	0.3196284581
26	0.3176647398
27	0.3157486198
28	0.3138608106
29	0.3118230133
30	0.3099833827
31	0.3082406388
32	0.3064410362
33	0.3046576806
34	0.3030121279
35	0.301353914
36	0.2997493221
37	0.2981008958
38	0.2967121148
39	0.2951377752
40	0.2938968648
41	0.292640858
42	0.2912600227
43	0.2900045846
44	0.2887289332
45	0.2875129778
46	0.2863677551
47	0.2851496876
48	0.2840001676
49	0.2827762313
50	0.2816087754
51	0.2804567137
52	0.2794282481
53	0.2784188659
54	0.2774009802
55	0.2764622427
56	0.2755696539
57	0.2746082953
58	0.2735853727
59	0.2727737795
60	0.2718757931
61	0.271033472
62	0.2701730838
63	0.2693085226
64	0.2684691858
65	0.2676629361
66	0.2668512106
67	0.2661745884
68	0.2654064181
69	0.2644781517
70	0.2638220452
71	0.2630599053
72	0.2624464336
73	0.2617305814
74	0.2609262101
75	0.2601656111
76	0.2595230794
77	0.2588459278
78	0.2582796541
79	0.2577048467
80	0.2570831337
81	0.2565379413
82	0.2559842751
83	0.2552802261
84	0.2547774497
85	0.2542036886
86	0.2536933001
87	0.2531786601
88	0.2525430977
89	0.2521104607
90	0.251627209
91	0.2511988802
92	0.2506832904
93	0.2501629976
94	0.2496445955
95	0.2492298468
96	0.2488036706
97	0.2483517267
98	0.2478511963
99	0.2474715736
100	0.2471040984
101	0.2467001594
102	0.2463643513
103	0.2458204716
104	0.2454243437
105	0.2450313472
106	0.2446233793
107	0.2442347969
108	0.2439079194
109	0.2435895511
110	0.2430889395
111	0.2427469026
112	0.2424048955
113	0.2420128271
114	0.2417078755
115	0.2413767845
116	0.2411249853
117	0.2408219928
118	0.2403682402
119	0.2399471523
120	0.2395688479
121	0.2391691284
122	0.2388659557
123	0.2385597837
124	0.2381838849
125	0.2379034118
126	0.2376382455
127	0.2373124675
128	0.2369888124
129	0.2367104235
130	0.2363852962
131	0.2360872036
132	0.2358342163
133	0.2355948653
134	0.2353605649
135	0.2350497069
136	0.2347823587
137	0.2345061978
138	0.2343059895
139	0.2340872341
140	0.2337490801
141	0.2334413723
142	0.2332300591
143	0.2329607982
144	0.2328168381
145	0.2325657876
146	0.2323955216
147	0.2321880188
148	0.2319218492
149	0.2316366264
150	0.2314191616
151	0.2312190188
152	0.2309631386
153	0.230753894
154	0.2304999577
155	0.2303072851
156	0.2301190473
157	0.2299283249
158	0.2297285489
159	0.2295561491
160	0.2293366363
161	0.2291910274
162	0.2289937032
163	0.2288170946
164	0.2285876274
165	0.2283892705
166	0.2281893989
167	0.2280290027
168	0.2278713001
169	0.2276449775
170	0.2274873898
171	0.2272558389
172	0.2270100527
173	0.2268179278
174	0.2267271827
175	0.2265246973
176	0.2263974172
177	0.2261850589
178	0.2260406606
179	0.2258079369
180	0.2256057181
181	0.2254309085
182	0.2252970814
183	0.2250995142
184	0.2249332205
185	0.2247676575
186	0.2246248576
187	0.2245188356
188	0.2243343913
189	0.2241183764
190	0.2239810714
191	0.2238217068
192	0.2235805204
193	0.2234148269
194	0.223222874
195	0.2230735
196	0.2228771412
197	0.2227244821
198	0.2225729422
199	0.2224347584
200	0.2223601325
201	0.2222510689
202	0.2220825658
203	0.2218821862
204	0.2217323977
205	0.2215826044
206	0.2214355041
207	0.2213219722
208	0.2212372981
209	0.2210978115
210	0.2209108374
211	0.2206949696
212	0.220593708
213	0.220466419
214	0.2203461317
215	0.220200959
216	0.2200999861
217	0.2199642715
218	0.2198239404
219	0.2197411928
220	0.2196284427
221	0.2195133529
222	0.2193736132
223	0.2192483933
224	0.2191279671
225	0.2189862944
226	0.2188551517
227	0.2187425577
228	0.2186591595
229	0.2185389035
230	0.2184604845
231	0.2183416623
232	0.2182819087
233	0.2181126805
234	0.2180096639
235	0.2178637997
236	0.2178093549
237	0.2176494777
238	0.2175369987
239	0.2174117722
240	0.2172752083
241	0.2171927269
242	0.2170617848
243	0.2168957408
244	0.2168195887
245	0.2166739854
246	0.2165616498
247	0.2164820486
248	0.2163742772
249	0.2162416846
250	0.2161252345
251	0.2160251926
252	0.2158986204
253	0.2157966077
254	0.2156130895
255	0.2154825794
256	0.2154024388
257	0.2153203595
258	0.2151840876
259	0.2150095305
260	0.2149475421
261	0.214870842
262	0.2147988005
263	0.2146789065
264	0.2145875885
265	0.2144917378
266	0.214378835
267	0.214257082
268	0.214186638
269	0.2140978692
270	0.2139938742
271	0.2138327326
272	0.2137519288
273	0.2135861034
274	0.2134968588
275	0.2133921153
276	0.2133000752
277	0.2131923546
278	0.2130637546
279	0.2129641104
280	0.2128858756
281	0.2127365195
282	0.212658475
283	0.2126083735
284	0.2125209972
285	0.2124345061
286	0.2122914779
287	0.2122311277
288	0.212143012
289	0.2120921102
290	0.2119954711
291	0.2119317455
292	0.2118370398
293	0.2117700765
294	0.2116872076
295	0.211578877
296	0.2114541307
297	0.2113267383
298	0.211220204
299	0.2111208206
300	0.2110191321
301	0.2109319681
302	0.2108207583
303	0.2107424595
304	0.210619956
305	0.2105380618
306	0.2104917868
307	0.2103936037
308	0.2103283989
309	0.2101996083
310	0.2100961476
311	0.2100211685
312	0.209949889
313	0.2098669215
314	0.2097501217
315	0.2096741379
316	0.2095770884
317	0.2095213734
318	0.2093780235
319	0.2092694262
320	0.2092183399
321	0.2091331227
322	0.2090299969
323	0.208945269
324	0.2088834706
325	0.2087564092
326	0.2086632896
327	0.2085106086
328	0.2084648892
329	0.2083678137
330	0.208288624
331	0.2082323378
332	0.2081049904
333	0.2080058004
334	0.207916941
335	0.207796696
336	0.2077107666
337	0.2076707182
338	0.2075676923
339	0.2074745144
340	0.207378923
341	0.2072711981
342	0.2071898941
343	0.2071260989
344	0.2070364164
345	0.206924502
346	0.206815496
347	0.2066890287
348	0.2065784607
349	0.2064950566
350	0.2063904764
351	0.2063159826
352	0.2062095136
353	0.2061077271
354	0.2059942832
355	0.2059144816
356	0.2058220814
357	0.2057082794
358	0.2056241898
359	0.2055439361
360	0.2054152357
361	0.2053295151
362	0.2052721225
363	0.2051631654
364	0.205083661
365	0.2049799612
366	0.2049048866
367	0.2048039958
368	0.2047076835
369	0.204563308
370	0.2044957002
371	0.2044260175
372	0.2043397717
373	0.2042646921
374	0.2042052637
375	0.2041298416
376	0.2040470532
377	0.2039539007
378	0.2038660008
379	0.2037476222
380	0.2036900284
381	0.2036310313
382	0.2035739989
383	0.2034973694
384	0.2033739322
385	0.2033320112
386	0.2032489528
387	0.2031619653
388	0.2031146851
389	0.2030115897
390	0.2029419617
391	0.2028474256
392	0.2027860807
393	0.2027135179
394	0.2026188126
395	0.2024875077
396	0.2024363688
397	0.20240302
398	0.2023260757
399	0.2022620633
400	0.2021426497
401	0.202030377
402	0.2019412324
403	0.2018835092
404	0.201823945
405	0.201706198
406	0.2016154551
407	0.2015345133
408	0.2014417319
409	0.2013667109
410	0.2012896091
411	0.2012214681
412	0.2011801314
413	0.2010635792
414	0.2009704702
415	0.2008498986
416	0.2007913096
417	0.2007392974
418	0.2006910253
419	0.2006308654
420	0.2005401019
421	0.2004754634
422	0.2004297229
423	0.2003186439
424	0.2002196249
425	0.2000979045
426	0.2000334481
427	0.1999829924
428	0.1998385042
429	0.1997965472
430	0.1997435239
431	0.1996518847
432	0.1995545035
433	0.1994595789
434	0.19937598
435	0.199221573
436	0.199174462
437	0.1991269865
438	0.199054955
439	0.1989845687
440	0.1988674191
441	0.198817376
442	0.1987076108
443	0.1986225774
444	0.198563507
445	0.1984324243
446	0.1983758667
447	0.1982281671
448	0.1981208894
449	0.1980467397
450	0.1979991526
451	0.1979276759
452	0.1978682041
453	0.1978100621
454	0.1977240966
455	0.1976569837
456	0.1975822761
457	0.1974949031
458	0.1974118786
459	0.1973587567
460	0.1972848615
461	0.1972040349
462	0.1971388335
463	0.1970698399
464	0.1969829998
465	0.1968862686
466	0.1968203052
467	0.1967757422
468	0.1966990723
469	0.1966459008
470	0.1966144645
471	0.1965385306
472	0.1964902118
473	0.1964046767
474	0.1963600873
475	0.1962885521
476	0.1962214597
477	0.1961873926
478	0.1961111604
479	0.1960570873
480	0.1959225386
481	0.1958367065
482	0.1957958546
483	0.1957483451
484	0.1956802061
485	0.1956297795
486	0.1955225652
487	0.195476966
488	0.1954108269
489	0.1953638414
490	0.1952811256
491	0.195241234
492	0.1951812313
493	0.1951088354
494	0.1950361225
495	0.1949370384
496	0.1948472504
497	0.1947386775
498	0.1946837342
499	0.1945794382
500	0.1944929232
501	0.1944052611
502	0.1943371663
503	0.1942405181
504	0.1941655978
505	0.1940916922
506	0.1940162207
507	0.1939509737
508	0.1938990944
509	0.1938442747
510	0.1937066444
511	0.1936872046
512	0.1935871757
513	0.1934959797
514	0.1934276054
515	0.1933619068
516	0.1933276144
517	0.1932526554
518	0.1931342319
519	0.1930912984
520	0.1929717504
521	0.1929157226
522	0.1928380892
523	0.1927470603
524	0.1926910249
525	0.1926514829
526	0.1925853903
527	0.1925397565
528	0.1924360166
529	0.1923839067
530	0.1923276757
531	0.1922885983
532	0.1921887175
533	0.1921191661
534	0.1919808538
535	0.1919077349
536	0.191839725
537	0.1917290814
538	0.1916813396
539	0.1915874305
540	0.191519209
541	0.1914530551
542	0.1913714418
543	0.1912992079
544	0.1912126667
545	0.1911146872
546	0.1910079683
547	0.190967598
548	0.1909019741
549	0.1908453924
