iter	MultiClass
0	1.637634689
1	1.517530615
2	1.427501138
3	1.350662416
4	1.281772773
5	1.222471885
6	1.169234791
7	1.12512642
8	1.084473487
9	1.046631616
10	1.011170052
11	0.9796174402
12	0.950228333
13	0.9234065594
14	0.8966805524
15	0.8742699628
16	0.8546117868
17	0.8358561051
18	0.8166885381
19	0.7996170558
20	0.7816049106
21	0.7680599845
22	0.7521510893
23	0.7382919778
24	0.7256082448
25	0.7124412142
26	0.7021085713
27	0.6912715464
28	0.681255746
29	0.6712849337
30	0.6614642477
31	0.6536481319
32	0.6471359107
33	0.6395742117
34	0.6333294948
35	0.6266136035
36	0.618835948
37	0.6127516157
38	0.6069196056
39	0.6004156066
40	0.5960466404
41	0.5899731767
42	0.5847175985
43	0.5797963929
44	0.5752974525
45	0.5706101764
46	0.5660681156
47	0.5618394506
48	0.5570414691
49	0.5538754192
50	0.5510662977
51	0.5483722025
52	0.544361151
53	0.5402487364
54	0.5374141773
55	0.5338128326
56	0.5305788014
57	0.5277064533
58	0.5243512137
59	0.5212694369
60	0.5198656342
61	0.5175977955
62	0.5154014403
63	0.5129172709
64	0.5107947431
65	0.5083766777
66	0.5062930931
67	0.504117041
68	0.5023417703
69	0.4998963706
70	0.4977772921
71	0.4959608352
72	0.4942289895
73	0.4912713162
74	0.4896208308
75	0.488172517
76	0.4870756058
77	0.4852710462
78	0.4833577851
79	0.4810094096
80	0.47988327
81	0.4782161699
82	0.4764685891
83	0.4755550378
84	0.4743379909
85	0.4724104361
86	0.471512093
87	0.470110207
88	0.4691824463
89	0.4671554379
90	0.4655776231
91	0.4644805851
92	0.4628472454
93	0.4617243718
94	0.4608832876
95	0.4595586141
96	0.4578982673
97	0.4563703819
98	0.4550851161
99	0.4531690113
100	0.452230901
101	0.4514718664
102	0.4508045885
103	0.4493948192
104	0.4479313028
105	0.4459680508
106	0.4444652218
107	0.44363962
108	0.442590144
109	0.4414402151
110	0.4404594534
111	0.4398000093
112	0.438322173
113	0.4374574671
114	0.4363870949
115	0.4354278276
116	0.434293523
117	0.4332582919
118	0.4324242863
119	0.4314591994
120	0.4299299677
121	0.428567297
122	0.4275589865
123	0.4259946561
124	0.4253655262
125	0.4243583533
126	0.4234478087
127	0.4227876238
128	0.4216253719
129	0.4208382505
130	0.4194614394
131	0.4182193119
132	0.4170829256
133	0.4162559969
134	0.4157879164
135	0.4146720062
136	0.4139984915
137	0.4128094699
138	0.4116063261
139	0.4106779795
140	0.4100290004
141	0.4089037075
142	0.4078884455
143	0.4071602104
144	0.4058767186
145	0.4052682264
146	0.4043987931
147	0.4035057547
148	0.4025050182
149	0.4018092609
150	0.4008757894
151	0.4003083848
152	0.3998554693
153	0.3991218133
154	0.3985883025
155	0.3976042312
156	0.3968389541
157	0.3961029901
158	0.3952606064
159	0.3945274115
160	0.3939714311
161	0.3934162929
162	0.3925492189
163	0.3920006616
164	0.3913654668
165	0.3906306309
166	0.3901816192
167	0.3889807446
168	0.3878494596
169	0.3873051477
170	0.3865769707
171	0.385891562
172	0.3851771391
173	0.3843682238
174	0.3835386248
175	0.3829182467
176	0.3824907847
177	0.3821840864
178	0.3817155163
179	0.380993565
180	0.3803302317
181	0.3796208836
182	0.3787193256
183	0.3781408725
184	0.3769936815
185	0.3757179456
186	0.3749777454
187	0.3743992766
188	0.3739284815
189	0.3733685345
190	0.3729895555
191	0.3722910314
192	0.3716020502
193	0.371215482
194	0.3704918161
195	0.3700747079
196	0.3692470594
197	0.3684644338
198	0.367702863
199	0.3671226539
200	0.3664564243
201	0.3657169579
202	0.3652287149
203	0.3644760901
204	0.3636775154
205	0.3631263361
206	0.362406829
207	0.3616120877
208	0.3607623741
209	0.3602422897
210	0.3596713294
211	0.3592094326
212	0.3589102431
213	0.3582430352
214	0.3577231165
215	0.356640799
216	0.3560181522
217	0.3554814942
218	0.3550056877
219	0.3542150679
220	0.3537857393
221	0.3532431966
222	0.3529479879
223	0.3525636521
224	0.3521052806
225	0.3517586956
226	0.3514139687
227	0.3509444446
228	0.3503125982
229	0.3499014302
230	0.3494082158
231	0.348898646
232	0.3479753518
233	0.3474156067
234	0.3470571216
235	0.3465442209
236	0.3460511766
237	0.3456333075
238	0.3452296229
239	0.344599617
240	0.3440661174
241	0.3433592448
242	0.3426326337
243	0.3419752522
244	0.3414573753
245	0.3409605013
246	0.3404439588
247	0.3399735628
248	0.3393599146
249	0.3388709056
250	0.3383779583
251	0.3378004618
252	0.3371682643
253	0.3363687637
254	0.3356779291
255	0.3350624218
256	0.3343783759
257	0.3340316864
258	0.3331818332
259	0.3326228709
260	0.3317490953
261	0.331321526
262	0.3308478519
263	0.3304408482
264	0.3298059608
265	0.3295719334
266	0.3290303302
267	0.3287562635
268	0.3284164262
269	0.3278402253
270	0.3274921111
271	0.3270953185
272	0.3264105205
273	0.3259320059
274	0.3253310444
275	0.3251634796
276	0.3246868859
277	0.3241441936
278	0.3235610424
279	0.3232734843
280	0.3229420225
281	0.3227733288
282	0.322361585
283	0.3216777687
284	0.321320798
285	0.320723854
286	0.3200861813
287	0.319821786
288	0.3189441741
289	0.3182999066
290	0.3179284527
291	0.3171478855
292	0.3164943446
293	0.3158547598
294	0.3155172056
295	0.3150612532
296	0.314821468
297	0.3143150199
298	0.3136529879
299	0.3131735272
300	0.3124763563
301	0.311883983
302	0.3113564133
303	0.3108690516
304	0.3103753228
305	0.3100125616
306	0.309499402
307	0.3092054918
308	0.3085542131
309	0.3078104239
310	0.3076352307
311	0.3071742494
312	0.3068787
313	0.3065809764
314	0.30592187
315	0.3055476851
316	0.3049347045
317	0.3044082035
318	0.3037377336
319	0.303464283
320	0.3030719867
321	0.3027565937
322	0.3024426511
323	0.3021502393
324	0.3014492784
325	0.3010386427
326	0.3003811539
327	0.3000279318
328	0.2995668515
329	0.2992205468
330	0.2984945803
