iter	Passed	Remaining
0	20	16744
1	47	18956
2	67	18022
3	90	17910
4	110	17605
5	128	17007
6	151	17113
7	173	17135
8	190	16722
9	206	16341
10	221	15871
11	237	15563
12	251	15200
13	267	15006
14	285	14936
15	304	14925
16	323	14886
17	339	14729
18	355	14622
19	371	14499
20	386	14319
21	401	14205
22	415	14048
23	429	13894
24	445	13817
25	460	13702
26	476	13629
27	491	13544
28	509	13544
29	525	13500
30	540	13416
31	556	13347
32	572	13311
33	587	13226
34	601	13144
35	616	13084
36	629	12977
37	644	12925
38	660	12881
39	675	12838
40	692	12813
41	707	12760
42	722	12714
43	737	12674
44	752	12633
45	768	12601
46	784	12566
47	800	12535
48	815	12503
49	830	12463
50	844	12399
51	860	12375
52	873	12313
53	888	12277
54	905	12270
55	921	12243
56	937	12225
57	955	12229
58	970	12186
59	983	12132
60	998	12100
61	1014	12071
62	1028	12026
63	1044	12012
64	1059	11983
65	1076	11970
66	1092	11950
67	1111	11961
68	1128	11953
69	1142	11918
70	1159	11905
71	1179	11922
72	1196	11911
73	1215	11924
74	1234	11930
75	1249	11906
76	1265	11886
77	1280	11850
78	1296	11831
79	1310	11794
80	1325	11765
81	1339	11732
82	1355	11712
83	1372	11696
84	1388	11677
85	1405	11669
86	1421	11648
87	1436	11621
88	1451	11596
89	1466	11568
90	1480	11531
91	1496	11514
92	1511	11493
93	1526	11465
94	1545	11467
95	1562	11456
96	1577	11433
97	1593	11417
98	1609	11397
99	1626	11382
100	1640	11354
101	1656	11332
102	1672	11317
103	1687	11290
104	1701	11264
105	1718	11248
106	1731	11211
107	1748	11201
108	1763	11182
109	1779	11164
110	1795	11147
111	1811	11129
112	1828	11113
113	1844	11097
114	1859	11074
115	1873	11045
116	1888	11024
117	1904	11008
118	1920	10987
119	1934	10964
120	1948	10935
121	1964	10915
122	1979	10892
123	1993	10865
124	2008	10847
125	2025	10835
126	2041	10816
127	2056	10794
128	2071	10775
129	2086	10754
130	2100	10729
131	2116	10708
132	2129	10677
133	2142	10649
134	2155	10615
135	2169	10590
136	2184	10571
137	2198	10544
138	2213	10525
139	2228	10507
140	2243	10487
141	2258	10466
142	2273	10447
143	2289	10430
144	2305	10416
145	2320	10394
146	2333	10367
147	2349	10348
148	2364	10330
149	2379	10311
150	2393	10288
151	2408	10267
152	2423	10246
153	2436	10222
154	2451	10202
155	2466	10183
156	2482	10165
157	2496	10145
158	2511	10125
159	2526	10106
160	2540	10083
161	2558	10076
