Date,Close/Last,Volume,Open,High,Low
4/5/2024,$118.38 ,9653915,$116.60 ,$118.86 ,$116.30 
4/4/2024,$117.09 ,13815400,$119.22 ,$120.19 ,$116.96 
4/3/2024,$118.98 ,22480440,$122.27 ,$123.69 ,$118.38 
4/2/2024,$122.82 ,15517070,$120.22 ,$123.53 ,$120.16 
4/1/2024,$121.53 ,8419727,$122.06 ,$122.40 ,$120.78 
3/28/2024,$122.36 ,15367420,$121.25 ,$123.74 ,$121.20 
3/27/2024,$120.98 ,10782840,$120.96 ,$122.03 ,$120.02 
3/26/2024,$119.93 ,11870040,$119.63 ,$120.40 ,$118.19 
3/25/2024,$119.36 ,12103550,$116.97 ,$119.41 ,$116.87 
3/22/2024,$115.87 ,7144785,$116.92 ,$117.66 ,$115.84 
3/21/2024,$116.70 ,10353550,$116.99 ,$117.36 ,$115.86 
3/20/2024,$116.46 ,11699650,$114.61 ,$116.51 ,$114.36 
3/19/2024,$114.51 ,10999740,$113.41 ,$115.17 ,$113.24 
3/18/2024,$113.85 ,11820760,$112.29 ,$114.43 ,$112.29 
3/15/2024,$111.95 ,15364180,$111.60 ,$112.96 ,$111.40 
3/14/2024,$112.06 ,10520460,$111.74 ,$112.35 ,$109.51 
3/13/2024,$112.50 ,7267902,$112.74 ,$114.13 ,$112.44 
3/12/2024,$112.46 ,8084958,$112.52 ,$112.95 ,$111.64 
3/11/2024,$112.31 ,8794307,$110.09 ,$112.91 ,$110.03 
3/8/2024,$110.32 ,10009190,$110.18 ,$111.31 ,$109.34 
3/7/2024,$110.18 ,8609290,$110.70 ,$111.08 ,$109.20 
3/6/2024,$110.06 ,14743880,$113.08 ,$113.30 ,$109.25 
3/5/2024,$112.87 ,14929580,$113.61 ,$115.19 ,$112.27 
3/4/2024,$113.69 ,11558850,$112.67 ,$114.13 ,$111.80 
3/1/2024,$111.95 ,7242396,$111.44 ,$112.15 ,$111.03 
2/29/2024,$111.58 ,11658290,$111.14 ,$112.75 ,$110.97 
2/28/2024,$110.80 ,10773050,$108.78 ,$111.04 ,$108.66 
2/27/2024,$109.42 ,7594956,$107.78 ,$109.58 ,$107.78 
2/26/2024,$107.68 ,8694150,$107.52 ,$108.76 ,$107.38 
2/23/2024,$107.74 ,11723950,$107.57 ,$108.00 ,$105.83 
2/22/2024,$107.64 ,9266195,$107.99 ,$108.49 ,$107.41 
2/21/2024,$107.67 ,10454430,$108.48 ,$109.22 ,$107.24 
2/20/2024,$109.44 ,9770911,$110.85 ,$111.13 ,$109.35 
2/16/2024,$111.60 ,8782223,$112.02 ,$112.56 ,$111.16 
2/15/2024,$112.45 ,9961907,$111.08 ,$112.92 ,$111.08 
2/14/2024,$111.56 ,11405490,$110.58 ,$111.68 ,$109.67 
2/13/2024,$110.46 ,14594480,$108.28 ,$110.65 ,$108.21 
2/12/2024,$109.29 ,13423960,$107.88 ,$111.06 ,$107.83 
2/9/2024,$108.39 ,21509090,$109.60 ,$110.15 ,$107.69 
2/8/2024,$110.54 ,60558410,$107.08 ,$112.77 ,$106.80 
2/7/2024,$99.14 ,28886280,$97.39 ,$99.28 ,$96.64 
2/6/2024,$99.29 ,16498480,$96.92 ,$99.32 ,$96.79 
2/5/2024,$96.65 ,11679340,$96.70 ,$97.37 ,$96.49 
2/2/2024,$97.13 ,9321343,$96.28 ,$97.41 ,$95.82 
2/1/2024,$97.06 ,8484801,$96.37 ,$97.93 ,$95.90 
1/31/2024,$96.05 ,9592304,$96.42 ,$97.57 ,$95.81 
1/30/2024,$96.94 ,9139614,$96.52 ,$97.54 ,$96.01 
1/29/2024,$97.49 ,13422220,$95.42 ,$97.50 ,$95.00 
1/26/2024,$95.36 ,7812755,$95.00 ,$95.53 ,$94.70 
1/25/2024,$94.86 ,8661572,$93.92 ,$94.94 ,$93.75 
1/24/2024,$93.50 ,10454900,$94.42 ,$95.25 ,$93.26 
1/23/2024,$93.77 ,11559410,$95.43 ,$95.89 ,$93.18 
1/22/2024,$95.08 ,15119380,$92.87 ,$95.23 ,$92.87 
1/19/2024,$93.06 ,19790080,$92.32 ,$93.58 ,$91.63 
1/18/2024,$92.21 ,12203200,$90.66 ,$92.51 ,$90.41 
1/17/2024,$90.34 ,15735220,$92.58 ,$93.76 ,$90.10 
1/16/2024,$93.05 ,16780870,$90.29 ,$93.09 ,$89.46 
1/12/2024,$90.35 ,11919450,$89.65 ,$90.83 ,$89.65 
1/11/2024,$89.45 ,9642176,$89.39 ,$89.78 ,$88.69 
1/10/2024,$89.29 ,15091570,$89.82 ,$89.82 ,$88.88 
1/9/2024,$89.67 ,11255050,$91.05 ,$91.10 ,$89.60 
1/8/2024,$91.55 ,11103720,$91.55 ,$91.94 ,$91.00 
1/5/2024,$90.90 ,9092069,$90.41 ,$91.32 ,$90.36 
1/4/2024,$90.56 ,12087430,$91.94 ,$91.94 ,$90.00 
1/3/2024,$91.65 ,11929770,$90.23 ,$92.08 ,$90.00 
1/2/2024,$90.71 ,10587630,$90.10 ,$91.48 ,$89.73 
12/29/2023,$90.29 ,9210954,$90.12 ,$90.60 ,$89.86 
12/28/2023,$90.40 ,8479648,$90.09 ,$90.98 ,$89.97 
12/27/2023,$90.38 ,11123510,$90.91 ,$90.94 ,$90.04 
12/26/2023,$90.95 ,8086935,$90.84 ,$91.27 ,$90.60 
12/22/2023,$91.02 ,9419816,$91.62 ,$92.24 ,$90.75 
12/21/2023,$92.02 ,13037180,$91.93 ,$92.08 ,$91.06 
12/20/2023,$91.27 ,13060570,$93.24 ,$94.27 ,$91.25 
12/19/2023,$93.93 ,8803962,$92.64 ,$93.99 ,$92.61 
12/18/2023,$92.86 ,9083570,$92.70 ,$93.71 ,$92.70 
12/15/2023,$93.46 ,17551600,$93.05 ,$93.95 ,$92.93 
12/14/2023,$93.94 ,12439330,$93.21 ,$94.83 ,$93.21 
12/13/2023,$92.83 ,10173240,$91.17 ,$92.87 ,$90.78 
12/12/2023,$91.07 ,13218430,$92.12 ,$92.20 ,$90.86 
12/11/2023,$92.20 ,10810960,$92.73 ,$93.08 ,$91.97 
12/8/2023,$92.82 ,9498155,$92.06 ,$93.54 ,$92.06 
12/7/2023,$92.35 ,10264680,$91.80 ,$93.39 ,$91.65 
12/6/2023,$91.50 ,10462040,$91.11 ,$92.55 ,$90.62 
12/5/2023,$90.79 ,12356990,$91.61 ,$91.78 ,$89.93 
12/4/2023,$92.01 ,12602810,$91.90 ,$92.41 ,$91.61 
12/1/2023,$92.58 ,11898170,$92.74 ,$92.84 ,$91.77 
11/30/2023,$92.69 ,13396700,$93.55 ,$93.86 ,$92.20 
11/29/2023,$92.50 ,13857040,$92.60 ,$93.24 ,$91.44 
11/28/2023,$92.50 ,18660310,$95.00 ,$95.14 ,$92.45 
11/27/2023,$95.17 ,11049470,$95.74 ,$95.74 ,$94.52 
11/24/2023,$96.06 ,5440468,$94.90 ,$96.51 ,$94.90 
11/22/2023,$95.07 ,7330932,$94.91 ,$95.71 ,$94.76 
11/21/2023,$94.45 ,7654843,$94.73 ,$94.96 ,$93.96 
11/20/2023,$95.03 ,14114770,$93.98 ,$95.59 ,$93.87 
11/17/2023,$94.15 ,12201300,$94.75 ,$95.38 ,$93.92 
11/16/2023,$94.51 ,12923920,$93.89 ,$94.61 ,$93.63 
11/15/2023,$93.93 ,20593050,$92.99 ,$94.57 ,$92.74 
11/14/2023,$91.07 ,13152030,$90.03 ,$91.54 ,$89.99 
11/13/2023,$89.44 ,12834440,$88.42 ,$89.90 ,$87.41 
11/10/2023,$88.27 ,25200000,$90.13 ,$90.16 ,$86.94 
11/9/2023,$90.34 ,51062700,$87.84 ,$91.21 ,$87.60 
11/8/2023,$84.50 ,26942600,$84.14 ,$84.92 ,$83.95 
11/7/2023,$84.59 ,10540200,$84.16 ,$84.68 ,$83.95 
11/6/2023,$84.02 ,14160920,$85.08 ,$85.80 ,$83.59 
11/3/2023,$85.07 ,11331780,$84.17 ,$85.93 ,$84.16 
11/2/2023,$83.29 ,11518450,$81.85 ,$83.30 ,$81.82 
11/1/2023,$81.07 ,9092974,$81.53 ,$81.58 ,$80.18 
10/31/2023,$81.59 ,8672234,$80.69 ,$81.67 ,$80.33 
10/30/2023,$80.68 ,10291180,$79.72 ,$80.93 ,$79.53 
10/27/2023,$79.33 ,10300560,$79.75 ,$81.03 ,$79.23 
10/26/2023,$79.78 ,11650990,$80.08 ,$80.61 ,$79.42 
10/25/2023,$80.59 ,9372522,$82.13 ,$82.55 ,$80.52 
10/24/2023,$82.56 ,11499470,$83.41 ,$84.20 ,$81.74 
10/23/2023,$83.10 ,10772520,$82.08 ,$84.03 ,$80.91 
10/20/2023,$82.65 ,10436990,$82.90 ,$83.44 ,$82.61 
10/19/2023,$83.25 ,14316810,$85.26 ,$85.27 ,$83.17 
10/18/2023,$84.68 ,10047020,$85.69 ,$86.26 ,$84.60 
10/17/2023,$86.20 ,9985651,$85.35 ,$86.29 ,$85.31 
10/16/2023,$85.71 ,10275140,$84.31 ,$85.93 ,$84.31 
10/13/2023,$84.35 ,10813090,$83.94 ,$84.58 ,$83.38 
10/12/2023,$84.35 ,9554881,$84.83 ,$85.07 ,$83.51 
