city_ascii,state_id,City,lat,lng
Anasco,PR,"Anasco, PR",18.2861,-67.1409
Aaronsburg,PA,"Aaronsburg, PA",40.9042,-77.4513
Abanda,AL,"Abanda, AL",33.0926,-85.5253
Abbeville,LA,"Abbeville, LA",29.9751,-92.1265
Abbeville,SC,"Abbeville, SC",34.1787,-82.3774
Abbeville,GA,"Abbeville, GA",31.9925,-83.3068
Abbeville,AL,"Abbeville, AL",31.5664,-85.2528
Abbeville,MS,"Abbeville, MS",34.5034,-89.5025
Abbotsford,WI,"Abbotsford, WI",44.9435,-90.3174
Abbott,TX,"Abbott, TX",31.8868,-97.0799
Abbottstown,PA,"Abbottstown, PA",39.8843,-76.9888
Abbs Valley,VA,"Abbs Valley, VA",37.2395,-81.4616
Abbyville,KS,"Abbyville, KS",37.9705,-98.2027
Abercrombie,ND,"Abercrombie, ND",46.4469,-96.7294
Aberdeen,SD,"Aberdeen, SD",45.4649,-98.4686
Aberdeen,WA,"Aberdeen, WA",46.9757,-123.8094
Aberdeen,MD,"Aberdeen, MD",39.5151,-76.1733
Aberdeen,NC,"Aberdeen, NC",35.135,-79.4326
Aberdeen,MS,"Aberdeen, MS",33.8287,-88.5539
Aberdeen,ID,"Aberdeen, ID",42.9441,-112.8384
Aberdeen,IN,"Aberdeen, IN",41.4418,-87.1167
Aberdeen,OH,"Aberdeen, OH",38.6713,-83.7704
Aberdeen Gardens,WA,"Aberdeen Gardens, WA",47.0587,-123.7791
Aberdeen Proving Ground,MD,"Aberdeen Proving Ground, MD",39.4672,-76.1308
Abernathy,TX,"Abernathy, TX",33.842,-101.8162
Abeytas,NM,"Abeytas, NM",34.4652,-106.8137
Abie,NE,"Abie, NE",41.3341,-96.9498
Abilene,TX,"Abilene, TX",32.4543,-99.7384
Abilene,KS,"Abilene, KS",38.923,-97.2252
Abingdon,VA,"Abingdon, VA",36.709,-81.9713
Abingdon,MD,"Abingdon, MD",39.4629,-76.2754
Abingdon,IL,"Abingdon, IL",40.8038,-90.4009
Abiquiu,NM,"Abiquiu, NM",36.2017,-106.3238
Abita Springs,LA,"Abita Springs, LA",30.4761,-90.0293
Abney Crossroads,SC,"Abney Crossroads, SC",34.5063,-80.5107
Abram,TX,"Abram, TX",26.2173,-98.4179
Abrams,WI,"Abrams, WI",44.7796,-88.0604
Absarokee,MT,"Absarokee, MT",45.5242,-109.4473
Absecon,NJ,"Absecon, NJ",39.4229,-74.4944
Absecon Highlands,NJ,"Absecon Highlands, NJ",39.4409,-74.4735
Acacia Villas,FL,"Acacia Villas, FL",26.6457,-80.1104
Acala,TX,"Acala, TX",31.3344,-105.9028
Acalanes Ridge,CA,"Acalanes Ridge, CA",37.9046,-122.0786
Acampo,CA,"Acampo, CA",38.1735,-121.2797
Accident,MD,"Accident, MD",39.6257,-79.32
Accokeek,MD,"Accokeek, MD",38.6745,-77.0023
Accomac,VA,"Accomac, VA",37.7196,-75.6673
Accord,NY,"Accord, NY",41.7972,-74.2319
Accoville,WV,"Accoville, WV",37.7652,-81.827
Aceitunas,PR,"Aceitunas, PR",18.4455,-67.0669
Acequia,ID,"Acequia, ID",42.6688,-113.5968
Achille,OK,"Achille, OK",33.8346,-96.3901
Ackerly,TX,"Ackerly, TX",32.5251,-101.7158
Ackerman,MS,"Ackerman, MS",33.311,-89.1711
Ackermanville,PA,"Ackermanville, PA",40.835,-75.2227
Ackley,IA,"Ackley, IA",42.5519,-93.0528
Ackworth,IA,"Ackworth, IA",41.3642,-93.4723
Acme,WA,"Acme, WA",48.7158,-122.2077
Acomita Lake,NM,"Acomita Lake, NM",35.0658,-107.6165
Acorn,AR,"Acorn, AR",34.6379,-94.2025
Acres Green,CO,"Acres Green, CO",39.5557,-104.8958
Acton,CA,"Acton, CA",34.4956,-118.1858
Acton,MT,"Acton, MT",45.929,-108.6788
