Year,Associates Total,Associates Men,Associates Women,Bachelors Total,Bachelors Men,Bachelors Women,Masters Total,Masters Men,Masters Women,Doctorate Total,Doctorate Men,Doctorate Women
2011,92464.00,73348.00,19116.00,286788.00,185802.00,100986.00,91612.00,63212.00,28400.00,25528.00,16685.00,8843.00
2012,88800.00,69944.00,18856.00,302340.00,196343.00,105997.00,95375.00,65369.00,30006.00,26577.00,17412.00,9165.00
2013,87366.00,68671.00,18695.00,318612.00,206935.00,111677.00,100078.00,67904.00,32174.00,28070.00,18468.00,9602.00
2014,88401.00,68932.00,19469.00,335849.00,217832.00,118017.00,112260.00,75544.00,36716.00,28037.00,18393.00,9644.00
2015,79869.00,61252.00,18617.00,354794.00,228705.00,126089.00,129142.00,87052.00,42090.00,28238.00,18710.00,9528.00
2016,82334.00,62671.00,19663.00,376869.00,242286.00,134583.00,139282.00,93746.00,45536.00,28544.00,18892.00,9652.00
2017,85271.00,64347.00,20924.00,395235.00,252738.00,142497.00,140255.00,92504.00,47751.00,29455.00,19261.00,10194.00
2018,86833.00,64410.00,22423.00,412962.00,262925.00,150037.00,138192.00,90099.00,48093.00,29854.00,19689.00,10165.00
2019,85231.00,62435.00,22796.00,429352.00,268950.00,160402.00,142799.00,91662.00,51137.00,29591.00,19414.00,10177.00
2020,87382.00,62103.00,25279.00,437302.00,270160.00,167142.00,146573.00,92965.00,53608.00,28818.00,18723.00,10095.00
