Term/Year Code,"Coll
",College,"Dept
","Degree
",Major_Code,Major_Name,Conc_code,Concentration_Name,Total,Men,Women,Unknown_Sex,Caucasian,Asian_American,African_American,Hispanic,Native_American,Pacific_Isl,Multiracial,International,Unknown,Illinois_Resident,Non-Illinois_Resident,Academic_Program_Code
120241,KL ,"Agr, Cons, Env Sci ",306,BS ,5895,Metropolitan Food & Enviro Sys ,  ,  ,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,10KL5895BS
120241,KL ,"Agr, Cons, Env Sci ",306,BS ,6147,SustainabilityinFood&EnviroSys ,  ,  ,10,7,3,0,3,1,3,3,0,0,0,0,0,9,1,10KL6147BS
120241,KL ,"Agr, Cons, Env Sci ",306,MS ,5599,Bioprocessing and Bioenergy ,5166,Professional Science Masters ,3,1,2,0,1,0,0,0,0,0,0,2,0,1,2,1PKS5599MS
120241,KL ,"Agr, Cons, Env Sci ",342,BS ,5740,"Ag Ldrship, Ed & Communication ",5736,Agricultural Education ,26,10,16,0,24,0,0,1,0,0,1,0,0,26,0,10KL5736BS
120241,KL ,"Agr, Cons, Env Sci ",342,BS ,5740,"Ag Ldrship, Ed & Communication ",5737,Org & Community Leadership ,42,24,18,0,34,0,4,1,0,0,2,0,1,41,1,10KL5737BS
120241,KL ,"Agr, Cons, Env Sci ",342,BS ,5740,"Ag Ldrship, Ed & Communication ",5738,Ag Communications-Advertising ,4,0,4,0,3,0,0,1,0,0,0,0,0,4,0,10KL5738BS
120241,KL ,"Agr, Cons, Env Sci ",342,BS ,5740,"Ag Ldrship, Ed & Communication ",5739,Ag Communications-Journalism ,2,0,2,0,1,0,0,0,0,0,1,0,0,2,0,10KL5739BS
120241,KL ,"Agr, Cons, Env Sci ",342,BS ,5740,"Ag Ldrship, Ed & Communication ",6080,Agricultural Communications ,34,8,26,0,32,0,0,1,0,0,1,0,0,31,3,10KL6080BS
120241,KL ,"Agr, Cons, Env Sci ",342,MS ,5740,"Ag Ldrship, Ed & Communication ",  ,  ,10,2,8,0,8,0,1,0,0,0,0,1,0,7,3,10KS5740MS
120241,KL ,"Agr, Cons, Env Sci ",342,MS ,5740,"Ag Ldrship, Ed & Communication ",  ,  ,16,2,14,0,16,0,0,0,0,0,0,0,0,14,2,10KS5740MSU
120241,KL ,"Agr, Cons, Env Sci ",342,NDEG ,5740,"Ag Ldrship, Ed & Communication ",  ,  ,3,1,2,0,2,1,0,0,0,0,0,0,0,0,3,10KS5740NDEU
120241,KL ,"Agr, Cons, Env Sci ",470,BS ,176,Agr & Consumer Economics ,5003,Agri-Accounting ,59,42,17,0,36,8,3,3,0,0,2,5,2,54,5,10KL5003BS
