EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5139144,MACOUPIN CO.,SHIPMAN,04/20/2000,659,Tornado, ,F1,0,0,25000,0,IL,CST, ,1093323,C,117,LSX,0,0,TRAINED SPOTTER, ,1,30,1,N,1,N,SHIPMAN,04/20/2000,659,39.13333,-90.05,39.13333,-90.05,"A small tornado (low end of F1) struck briefly near Shipman. Two farm buildings were destroyed and some trees and power lines were downed.  The tornado was witnessed by several people driving to work  that morning.","",1
5141865,LOGAN CO.,LINCOLN,04/20/2000,800,Tornado, ,F0,0,0,0,0,IL,CST, ,1093928,C,107,ILX,0,0,EMERGENCY MANAGER, ,.2,10,4,SW,4,SW,LINCOLN,04/20/2000,800,40.11667,-89.41667,40.11667,-89.41667,"A tornado touched down briefly in a field 4 miles southwest of Lincoln.  No damage was reported.","",2
5141481,SANGAMON CO.,ILLIOPOLIS,04/20/2000,805,Tornado, ,F0,0,0,0,0,IL,CST, ,1093928,C,167,ILX,0,0,EMERGENCY MANAGER, ,.3,20,1,S,1,S,ILLIOPOLIS,04/20/2000,805,40.4,-89.41667,40.4,-89.41667,"A tornado briefly touched down one mile south of Illiopolis.  A porch on a home was damaged, a grain bin was damaged, and several power lines were blown down.  No injuries were reported.","",3
5141936,MACON CO.,OREANA,04/20/2000,830,Tornado, ,F1,0,0,0,0,IL,CST, ,1093928,C,115,ILX,0,0,NWS STORM SURVEY, ,2.3,150,2,NE,2,NE,OREANA,04/20/2000,840,39.95,-88.85,39.98333,-88.81667,"The tornado touched down 1.8 miles northeast of Oreana, just east of Route 48.  It moved to the northeast along Route 48, entering Argenta.  The most severe damage was in two areas.  The first was about 2 miles northeast of Oreana where the roof of a two story house was lifted off.  The second was on the southwest side of Argenta, where part of the roof of a two story brick building was lifted off and placed on top of a lower building roof.  Also, numerous trees, power poles, and power lines were blown down.  A garage was destroyed in Argenta.  No injuries were reported.","",4
5141869,MACON CO.,FORSYTH,04/20/2000,830,Tornado, ,F1,0,0,0,0,IL,CST, ,1093928,C,115,ILX,0,0,NWS STORM SURVEY, ,.3,300,1,N,1,N,FORSYTH,04/20/2000,831,39.95,-88.95,39.95,-88.95,"The tornado touched down west northwest of the intersection of Route 51 and County Route 20.  The tornado then crossed Route 51 moving to the northeast.  It damaged a couple of large oil pipeline storage tanks (put large dents in them), then the tornado weakened in an open field and dissipated.","",5
5141937,PIATT CO.,LODGE,04/20/2000,905,Tornado, ,F0,0,0,0,0,IL,CST, ,1093928,C,147,ILX,0,0,LAW ENFORCEMENT, ,3.5,30, , , , ,LODGE,04/20/2000,909,40.1,-88.55,40.1,-88.48333,"A tornado made a series of touchdowns over a 3.5 mile path.  In Lodge, the tornado briefly touched down destroying a chimney on a house, then lifted and moved to the east.  It touched down one more time near the intersection of Route 10 and I-72 in a field.  No injuries were reported.","",6
5146702,HENRY CO.,KEWANEE,05/08/2000,2011,Tornado, ,F0,0,0,0,0,IL,CST, ,1095839,C,73,DVN,0,0,TRAINED SPOTTER, ,.1,10,4,W,4,W,KEWANEE,05/08/2000,2011,41.23333,-90.01667,41.23333,-90.01667,"","An outflow boundary laid down from morning thunderstorms was located in an east-west fashion near the Illinois and Wisconsin border by early afternoon.  The outflow intersected an advancing cold front over East Central Iowa, which enhanced low level convergence.  However, the atmosphere remained strongly capped, which allowed for only isolated thunderstorms to develop over Eastern Iowa by mid afternoon.  These storms did not generate any reports of severe weather in Eastern Iowa, although they did produce heavy rain, gusty winds and small hail.  As the thunderstorms crossed the Mississippi River into West Central Illinois during the evening they intensified.  The cap had eroded with the aid of an upper level jet max.  The atmosphere was very unstable with Capes of 2500-3500 J/Kg, while deep layer shear from the surface to 6 kilometers was marginal for supercells at 30 to 40 knots. The storms quickly became severe producing large hail and damaging winds in Hancock, Warren and Henry Counties.  A weak, short lived tornado was spawned by one of the storms 4 miles west of Kewanee.  The tornado touched down in a rural area doing no damage and causing no injuries.",7
5149208,TAZEWELL CO.,PARKLAND,05/08/2000,2112,Tornado, ,F1,0,0,275000,0,IL,CST, ,1096595,C,179,ILX,0,0,EMERGENCY MANAGER, ,.5,100,2,W,2,W,PARKLAND,05/08/2000,2117,40.45,-89.78333,40.45,-89.76667,"A tornado briefly touched down 1.5 miles west of Parkland on a farm.  It destroyed 4 large grain bins and blew a machine shed 100 yards from where it had been.  A garage nearby sustained minor damage with siding and a door blown off.  No injuries were reported.","",8
5149283,MCLEAN CO.,SHAMROCK,05/08/2000,2214,Tornado, ,F2,0,4,175000,0,IL,CST, ,1096595,C,113,ILX,0,0,NWS STORM SURVEY, ,4,400,1,N,1,N,SHAMROCK,05/08/2000,2218,40.41667,-88.9,40.43333,-88.83333,"A tornado touched down half a mile north of Shamrock.  It traveled east northeast causing minor to moderate damage to several machine sheds and barns.  The most severe damage was to a two story house 2 miles north northwest of Downs.  The 3 to 5 year old house sustained major damage with the roof lifted off and two exterior walls caved in.  Four family members sustained minor cuts and bruises.  A neighbor's house sustained minor damage, mainly due to flying debris from the destroyed home.","",9
5149658,LOGAN CO.,HARTSBURG,05/12/2000,1500,Tornado, ,F0,0,0,0,0,IL,CST, ,1096599,C,107,ILX,0,0,EMERGENCY MANAGER, ,.3,20,1,SE,1,SE,HARTSBURG,05/12/2000,1501,40.25,-89.43333,40.25,-89.43333,"A tornado briefly touched down in a field about half a mile southeast of Hartsburg, crossed Illinois Route 121, then lifted.  No damage was reported.","",10
5149946,SANGAMON CO.,DAWSON,05/12/2000,1530,Tornado, ,F0,0,0,0,0,IL,CST, ,1096599,C,167,ILX,0,0,LAW ENFORCEMENT, ,2,50,1,N,1,N,DAWSON,05/12/2000,1534,39.86667,-89.46667,39.86667,-89.43333,"A tornado made a series of touch downs in open fields for 2 miles before lifting and dissipating.  No damage was reported.","",11
5149951,MACON CO.,NIANTIC,05/12/2000,1600,Tornado, ,F0,0,0,0,0,IL,CST, ,1096599,C,115,ILX,0,0,FIRE DEPT/RESCUE SQUAD, ,7,20,2,N,2,N,NIANTIC,05/12/2000,1615,39.88333,-89.16667,39.91667,-89.05,"A tornado made a series of touch downs in open fields over a 7 mile long path, but no damage was reported.","",12
5144484,BOND CO.,OLD RIPLEY,05/12/2000,1725,Tornado, ,F1,0,0,200000,0,IL,CST, ,1095046,C,5,LSX,0,0,NWS STORM SURVEY, ,9,50,3,NNE,3,NNE,OLD RIPLEY,05/12/2000,1745,38.91667,-89.55,38.91667,-89.28333,"A tornado left a path of damage for 9 miles across east Bond County. The damage first started 2.5 miles north northeast of Old Ripley where several large trees were damaged. The tornado traveled east alone County Road 1300 destroying one barn and 2 machine sheds. The tornado continued east snapping or uprooting large trees. It then crossed Governor Bond Lake, damaging at least 7 homes in the Springwood Estates subdivision on the east side of the lake. Large pieces from the side of one home and pieces of the roof of another were blown about 1/2 mile east. Several pieces of debris were impaled into the ground at 45 to 60 degree angles.","",13
5144485,BOND CO.,GREENVILLE,05/12/2000,1747,Tornado, ,F2,0,0,0,0,IL,CST, ,1095047,C,5,LSX,0,0,NWS STORM SURVEY, ,1.5,100,2,NNE,2,NNE,GREENVILLE,05/12/2000,1750,38.91667,-89.3,38.91667,-89.28333,"A second tornado formed about 100 yards southeast of the initial tornado in Bond County and traveled east for about 1.5 miles. The tornado traveled through a heavily wooded area destroying hundreds of large trees.","",14
5144486,FAYETTE CO.,VANDALIA,05/12/2000,1810,Tornado, ,F0,0,0,15000,0,IL,CST, ,1095048,C,51,LSX,0,0,NWS STORM SURVEY, ,1.5,40,4,S,4,S,VANDALIA,05/12/2000,1813,38.91667,-89.1,38.91667,-89.06667,"A small tornado formed in Fayette County south of Vandalia. One mobile home was destroyed, a boat dock at a pond destroyed and several trees downed. Power lines were also downed.","",15
5146587,HENRY CO.,ORION,05/18/2000,1350,Tornado, ,F0,0,0,0,0,IL,CST, ,1095836,C,73,DVN,0,0,LAW ENFORCEMENT, ,.1,10, , , , ,ORION,05/18/2000,1350,41.35,-90.38333,41.35,-90.38333,"","A frontal boundary meandering about Southern Iowa and Central Illinois lifted into Central Iowa and North Central Illinois by afternoon.  A nearly stacked low center over the Mid Missouri River Valley underwent filling as it shifted eastward across Southern Iowa and Central Illinois.  Much of Northern Illinois along and north of Interstate 88 was thrusted into the warm sector where temperatures climbed into the upper 70s to lower 80s.  Meanwhile, areas north of the boundary were quite cool with a brisk northeast surface wind and plenty of cloud cover keeping temperatures down in the 60s.  12z soundings from KILX and KDVN indicated very steep lapse rates with Cape values of 2000-3000 J-kg.  Thunderstorms quickly erupted along the boundary from Central Iowa through Northeast Iowa into Northern Illinois by late morning, and continued through the afternoon.  The storms produced large hail, heavy rain, damaging winds and several tornadoes over portions of Northwest Illinois.  Thunderstorm interaction with the frontal boundary was believed to be the culprit for spawning 6 weak and short lived tornadoes across Henry and Bureau Counties.  The only damage occurring with the tornadoes was in Manlius and Neponset where large trees and signs were blown down.  High winds, associated with a possible gustnado, blew down the back wall and knocked out several windows of an abandoned grocery store in Cambridge.  The glass and bricks were hurled to the ground, causing damage to a truck parked on one side of the building.  The high winds also downed several trees and power lines.  Power was knocked out to Cambridge and surrounding areas for almost 4 hours.",16
