Major,Profession,Total per profession,Men,Women,Unknown
"Agr, Cons, Env Sci ",Graduate ,582,282,300,0
"Agr, Cons, Env Sci ",Undergraduate ,2734,1239,1495,0
Business ,Graduate ,1141,620,521,0
Business ,Undergraduate ,3050,1664,1386,0
Education ,Graduate ,563,171,392,0
Education ,Undergraduate ,569,46,523,0
Engineering ,Graduate ,3097,2411,686,0
Engineering ,Undergraduate ,7324,6049,1274,1
Fine & Applied Arts ,Graduate ,791,376,415,0
Fine & Applied Arts ,Undergraduate ,1499,662,837,0
Graduate College ,Graduate ,69,47,22,0
Media ,Graduate ,75,20,55,0
Media ,Undergraduate ,1080,349,731,0
Law ,Graduate ,80,27,53,0
Law ,Professional ,502,290,212,0
Liberal Arts & Sci ,Graduate ,2521,1269,1252,0
Liberal Arts & Sci ,Undergraduate ,11514,6059,5453,2
General Studies ,Undergraduate ,2649,1540,1109,0
Applied Health Sci ,Graduate ,274,79,195,0
Applied Health Sci ,Undergraduate ,1980,653,1327,0
Veterinary Medicine ,Graduate ,68,26,42,0
Veterinary Medicine ,Professional ,485,78,406,1
Institute of Aviation ,Undergraduate ,3,3,0,0
Labor & Empl. Rel. ,Graduate ,208,63,145,0
School of Social Work ,Graduate ,238,30,208,0
School of Social Work ,Undergraduate ,176,23,153,0
Center Innov in Teach Learn ,Graduate ,47,12,35,0
Library & Info Sci ,Graduate ,283,75,208,0
Provost & VC Acad Affairs ,Undergraduate ,1,0,1,0
