MSA.Code,City,Median Earnings: Men,Median Earnings: Women,Employment: Men,Employment: Women,Employment: Total,Earnings Difference (Women vs. Men),Earnings Percentage (Women vs. Men),Employment Difference (Women vs. Men),Employment Percentage (Women vs. Total),Group
10100,"Aberdeen, SD",50792,37312,9565,7060,16625,13480,0.73,2505,0.42,All (STEM and Non-STEM)
10100,"Aberdeen, SD",62750,40000,393,168,561,22750,0.64,225,0.3,All STEM
10100,"Aberdeen, SD",66042,63036,95,37,132,3006,0.95,58,0.28,Computer and Mathematical
10100,"Aberdeen, SD",63250,27147,210,91,301,36103,0.43,119,0.3,Architecture and Engineering
10100,"Aberdeen, SD",29167,36250,88,40,128,-7083,1.24,48,0.31,"Life, Physical, and Social Sciences"
10140,"Aberdeen, WA",49462,39182,11036,8254,19290,10280,0.79,2782,0.43,All (STEM and Non-STEM)
10140,"Aberdeen, WA",65417,45875,578,309,887,19542,0.7,269,0.35,All STEM
10140,"Aberdeen, WA",74779,58393,261,137,398,16386,0.78,124,0.34,Computer and Mathematical
10140,"Aberdeen, WA",65893,68859,171,25,196,-2966,1.05,146,0.13,Architecture and Engineering
10140,"Aberdeen, WA",46944,39205,146,147,293,7739,0.84,-1,0.5,"Life, Physical, and Social Sciences"
10180,"Abilene, TX",43707,32420,30057,23636,53693,11287,0.74,6421,0.44,All (STEM and Non-STEM)
10180,"Abilene, TX",60685,50781,1602,399,2001,9904,0.84,1203,0.2,All STEM
10180,"Abilene, TX",47589,48092,651,215,866,-503,1.01,436,0.25,Computer and Mathematical
10180,"Abilene, TX",64648,60625,860,87,947,4023,0.94,773,0.09,Architecture and Engineering
10180,"Abilene, TX",47411,47383,91,97,188,28,1,-6,0.52,"Life, Physical, and Social Sciences"
10220,"Ada, OK",43675,35030,7331,5875,13206,8645,0.8,1456,0.44,All (STEM and Non-STEM)
10220,"Ada, OK",68417,55781,363,82,445,12636,0.82,281,0.18,All STEM
10220,"Ada, OK",76944,55729,212,61,273,21215,0.72,151,0.22,Computer and Mathematical
10220,"Ada, OK",63269,NA,108,0,108,NA,NA,108,0,Architecture and Engineering
10220,"Ada, OK",56250,55938,43,21,64,312,0.99,22,0.33,"Life, Physical, and Social Sciences"
10300,"Adrian, MI",48360,38558,18112,12630,30742,9802,0.8,5482,0.41,All (STEM and Non-STEM)
10300,"Adrian, MI",76373,56875,1293,259,1552,19498,0.74,1034,0.17,All STEM
10300,"Adrian, MI",67250,55521,365,111,476,11729,0.83,254,0.23,Computer and Mathematical
10300,"Adrian, MI",90338,63295,757,50,807,27043,0.7,707,0.06,Architecture and Engineering
10300,"Adrian, MI",53208,56250,171,98,269,-3042,1.06,73,0.36,"Life, Physical, and Social Sciences"
10380,"Aguadilla-Isabela, PR",21421,21551,28271,19773,48044,-130,1.01,8498,0.41,All (STEM and Non-STEM)
10380,"Aguadilla-Isabela, PR",49955,33718,1243,676,1919,16237,0.67,567,0.35,All STEM
10380,"Aguadilla-Isabela, PR",48765,31694,502,164,666,17071,0.65,338,0.25,Computer and Mathematical
10380,"Aguadilla-Isabela, PR",54625,29451,588,274,862,25174,0.54,314,0.32,Architecture and Engineering
10380,"Aguadilla-Isabela, PR",38802,40357,153,238,391,-1555,1.04,-85,0.61,"Life, Physical, and Social Sciences"
10420,"Akron, OH",53565,41822,135812,104046,239858,11743,0.78,31766,0.43,All (STEM and Non-STEM)
10420,"Akron, OH",77175,63301,13284,3402,16686,13874,0.82,9882,0.2,All STEM
10420,"Akron, OH",78433,64209,6528,1757,8285,14224,0.82,4771,0.21,Computer and Mathematical
10420,"Akron, OH",77677,64698,5505,777,6282,12979,0.83,4728,0.12,Architecture and Engineering
10420,"Akron, OH",63998,61512,1251,868,2119,2486,0.96,383,0.41,"Life, Physical, and Social Sciences"
10460,"Alamogordo, NM",40113,28556,9263,6788,16051,11557,0.71,2475,0.42,All (STEM and Non-STEM)
10460,"Alamogordo, NM",63553,77941,504,138,642,-14388,1.23,366,0.21,All STEM
10460,"Alamogordo, NM",50156,36731,169,50,219,13425,0.73,119,0.23,Computer and Mathematical
10460,"Alamogordo, NM",75962,87750,256,72,328,-11788,1.16,184,0.22,Architecture and Engineering
10460,"Alamogordo, NM",44596,44167,79,16,95,429,0.99,63,0.17,"Life, Physical, and Social Sciences"
10500,"Albany, GA",42571,35302,22147,22060,44207,7269,0.83,87,0.5,All (STEM and Non-STEM)
10500,"Albany, GA",71727,50625,1144,360,1504,21102,0.71,784,0.24,All STEM
10500,"Albany, GA",56289,55833,409,190,599,456,0.99,219,0.32,Computer and Mathematical
10500,"Albany, GA",78715,102656,425,30,455,-23941,1.3,395,0.07,Architecture and Engineering
10500,"Albany, GA",71563,46065,310,140,450,25498,0.64,170,0.31,"Life, Physical, and Social Sciences"
10540,"Albany-Lebanon, OR",51612,38716,21770,15254,37024,12896,0.75,6516,0.41,All (STEM and Non-STEM)
10540,"Albany-Lebanon, OR",66024,69333,1623,482,2105,-3309,1.05,1141,0.23,All STEM
10540,"Albany-Lebanon, OR",66031,73750,796,160,956,-7719,1.12,636,0.17,Computer and Mathematical
10540,"Albany-Lebanon, OR",80000,73304,560,132,692,6696,0.92,428,0.19,Architecture and Engineering
10540,"Albany-Lebanon, OR",47917,54063,267,190,457,-6146,1.13,77,0.42,"Life, Physical, and Social Sciences"
10580,"Albany-Schenectady-Troy, NY",60087,50567,173310,140017,313327,9520,0.84,33293,0.45,All (STEM and Non-STEM)
10580,"Albany-Schenectady-Troy, NY",85635,71076,23363,7674,31037,14559,0.83,15689,0.25,All STEM
10580,"Albany-Schenectady-Troy, NY",79772,71375,10111,3591,13702,8397,0.89,6520,0.26,Computer and Mathematical
10580,"Albany-Schenectady-Troy, NY",91284,77396,10153,1841,11994,13888,0.85,8312,0.15,Architecture and Engineering
10580,"Albany-Schenectady-Troy, NY",86816,64427,3099,2242,5341,22389,0.74,857,0.42,"Life, Physical, and Social Sciences"
10620,"Albemarle, NC",46909,36658,12050,8642,20692,10251,0.78,3408,0.42,All (STEM and Non-STEM)
10620,"Albemarle, NC",59710,44539,531,164,695,15171,0.75,367,0.24,All STEM
10620,"Albemarle, NC",59148,45089,249,123,372,14059,0.76,126,0.33,Computer and Mathematical
10620,"Albemarle, NC",61150,56607,235,17,252,4543,0.93,218,0.07,Architecture and Engineering
10620,"Albemarle, NC",57981,NA,47,24,71,NA,NA,23,0.34,"Life, Physical, and Social Sciences"
10660,"Albert Lea, MN",46417,37108,6355,4208,10563,9309,0.8,2147,0.4,All (STEM and Non-STEM)
10660,"Albert Lea, MN",70625,42434,227,61,288,28191,0.6,166,0.21,All STEM
10660,"Albert Lea, MN",71458,42321,95,29,124,29137,0.59,66,0.23,Computer and Mathematical
10660,"Albert Lea, MN",72500,NA,106,4,110,NA,NA,102,0.04,Architecture and Engineering
10660,"Albert Lea, MN",67917,42083,26,28,54,25834,0.62,-2,0.52,"Life, Physical, and Social Sciences"
10700,"Albertville, AL",41873,32026,17213,10597,27810,9847,0.76,6616,0.38,All (STEM and Non-STEM)
